iter	Logloss
0	0.6241607087
1	0.5644215799
2	0.5144647692
3	0.4811239398
4	0.4558844623
5	0.4278768053
6	0.4117811742
7	0.3974277675
8	0.3829163894
9	0.368401194
10	0.3569694597
11	0.3530853635
12	0.3419049246
13	0.3330619186
14	0.3270998461
15	0.3227315993
16	0.3158306214
17	0.3118230872
18	0.3035523714
19	0.3008622504
20	0.2969529427
21	0.2936814026
22	0.2886911388
23	0.2851012722
24	0.281807754
25	0.2785466196
26	0.2758521692
27	0.2725788285
28	0.2692666207
29	0.2660055576
30	0.2640995865
31	0.2613328444
32	0.2587365334
33	0.2561442691
34	0.2545023856
35	0.2525998357
36	0.2508671208
37	0.248074251
38	0.2464933161
39	0.2449636928
40	0.242548138
41	0.2414425486
42	0.2391924354
43	0.2371650666
44	0.2343728982
45	0.2318861347
46	0.2315284757
47	0.2300412382
48	0.2287255619
49	0.2272241249
50	0.225588224
51	0.224485286
52	0.222707075
53	0.2213056075
54	0.220497624
55	0.2189871884
56	0.2175691245
57	0.2163289968
58	0.214205253
59	0.213450931
60	0.2126771728
61	0.2114575227
62	0.2107320511
63	0.2093596848
64	0.2080000279
65	0.2073453998
66	0.2054385386
67	0.2040118169
68	0.2029160651
69	0.2023202904
70	0.2022699903
71	0.2011739225
72	0.1995210708
73	0.1988821902
74	0.1974736235
75	0.1957844379
76	0.1938100201
77	0.1934625868
78	0.1916687478
79	0.1902922174
80	0.1892110561
81	0.1881099722
82	0.1867599792
83	0.1856347472
84	0.1840361082
85	0.1828132111
86	0.1817451206
87	0.180779509
88	0.179341051
89	0.1786673765
90	0.1774831732
91	0.1763752659
92	0.1753025829
93	0.1739414541
94	0.1728993519
95	0.172166214
96	0.1708808235
97	0.1697107677
98	0.1682407134
99	0.1666931903
100	0.1656026168
101	0.1649745276
102	0.1637995768
103	0.1626689667
104	0.1620730868
105	0.1611100757
106	0.1601116362
107	0.1592400614
108	0.1581074163
109	0.1569891194
110	0.1560350494
111	0.1559544335
112	0.1550758631
113	0.1542788387
114	0.154080623
115	0.1540084836
116	0.1528673329
117	0.1513278796
118	0.151275086
119	0.1506343977
120	0.150062555
121	0.1491448461
122	0.1481612841
123	0.1470118498
124	0.1463330459
125	0.1456627894
126	0.1450274063
127	0.1439976451
128	0.1427217548
129	0.1417109184
130	0.141181053
131	0.1403005119
132	0.1398410398
133	0.1389728785
134	0.1382140404
135	0.1371006368
136	0.1361722937
137	0.1352915661
138	0.1346203846
139	0.1340694773
140	0.1329845131
141	0.132229689
142	0.131546064
143	0.1308406099
144	0.1304396871
145	0.1301352475
146	0.1291714601
147	0.1284385744
148	0.1273839476
149	0.1264539309
150	0.1253212717
151	0.1247832992
152	0.1238483112
153	0.1229247658
154	0.122780746
155	0.1220872741
156	0.1208835539
157	0.1202350122
158	0.1200558499
159	0.1197990942
160	0.1190035827
161	0.1184150713
162	0.1181159036
163	0.1174129475
164	0.1169257266
165	0.116870931
166	0.1161535808
167	0.1158091302
168	0.1146169191
169	0.1139782122
170	0.1132068984
171	0.1128917107
172	0.112325196
173	0.1118812864
174	0.1111526051
175	0.1106519349
176	0.1101554782
177	0.109487603
178	0.1092709779
179	0.1085647461
180	0.1077559552
181	0.1077085402
182	0.1074246752
183	0.1067284504
184	0.1062323026
185	0.1055914697
186	0.1052566805
187	0.1049815785
188	0.1045459375
189	0.1040999135
190	0.1036922653
191	0.1030715082
192	0.1024712961
193	0.102391694
194	0.1016752856
195	0.1009511575
196	0.1006512229
197	0.1004042174
198	0.09997109069
199	0.09982479124
200	0.09919305127
201	0.09874951589
202	0.09829248305
203	0.09800640272
204	0.09782767049
205	0.0971618187
206	0.09712300863
207	0.09682981341
208	0.09631078223
209	0.09557665094
210	0.09510435376
211	0.0949218422
212	0.09463042756
213	0.09426488406
214	0.09385886558
215	0.09352871796
216	0.09305827806
217	0.09273542799
218	0.09217412064
219	0.09179306177
220	0.09148929882
221	0.09144671572
222	0.09137431594
223	0.09078506166
224	0.0904348116
225	0.08972241206
226	0.08939632533
227	0.08913374313
228	0.08868296152
229	0.08832643413
230	0.0881645789
231	0.08780729811
