iter	Passed	Remaining
0	14	7027285
1	27	6938271
2	44	7414986
3	60	7605348
4	74	7465784
5	91	7622494
6	107	7687161
7	123	7727107
8	139	7757176
9	156	7809483
10	174	7909638
11	182	7610630
12	198	7648976
13	216	7744820
14	242	8096058
15	263	8223783
16	281	8276587
17	300	8358991
18	319	8413158
19	337	8435880
20	360	8589328
21	377	8585534
22	395	8597267
23	413	8612626
24	438	8769607
25	454	8732154
26	469	8702733
27	485	8676008
28	501	8651311
29	517	8625849
30	533	8610596
31	549	8589616
32	565	8571770
33	581	8556793
34	597	8540936
35	614	8534393
36	630	8516221
37	646	8500217
38	662	8486736
39	677	8473329
40	694	8466395
41	709	8450586
42	725	8440476
43	742	8432037
44	771	8575902
45	795	8640535
46	813	8656203
47	878	9154421
48	970	9905109
49	1028	10281356
50	1088	10666796
51	1114	10712460
52	1148	10835062
53	1167	10813393
54	1183	10761128
55	1200	10713360
56	1219	10698026
57	1260	10864107
58	1293	10957505
59	1326	11052373
60	1357	11124549
61	1387	11189077
62	1418	11254621
63	1455	11366629
64	1484	11420548
65	1524	11544811
66	1561	11651141
67	1603	11786546
68	1639	11876470
69	1673	11954689
70	1691	11910298
71	1727	11994623
72	1758	12043108
73	1783	12049921
74	1802	12015488
75	1819	11969729
76	1837	11929317
77	1855	11890280
78	1871	11845503
79	1888	11800512
80	1905	11757462
81	1922	11719724
82	1939	11682480
83	1956	11645493
84	1973	11606888
85	1989	11566353
86	2007	11534170
87	2024	11501844
88	2041	11469692
89	2058	11433274
90	2075	11399042
91	2091	11364830
92	2107	11330572
93	2124	11296509
94	2143	11277073
95	2162	11259900
96	2179	11232937
97	2196	11205757
98	2214	11182559
99	2232	11160264
100	2249	11135930
101	2267	11111962
102	2284	11087539
103	2300	11059583
104	2317	11033869
105	2333	11006895
106	2349	10978925
107	2366	10951503
108	2382	10927501
109	2399	10902240
110	2415	10877512
111	2431	10852605
112	2447	10827591
113	2466	10815662
114	2495	10846036
115	2513	10829881
116	2533	10823288
117	2551	10807055
118	2567	10783622
119	2583	10760940
120	2599	10738700
121	2616	10719967
122	2632	10697955
123	2648	10677434
124	2665	10658971
125	2682	10642576
126	2699	10624347
127	2715	10604548
128	2731	10585270
129	2749	10570920
130	2766	10557603
131	2783	10542664
132	2803	10535354
133	2824	10535785
134	2845	10535154
135	2864	10530099
136	2897	10573012
137	2928	10607107
138	2959	10643129
139	2978	10632923
140	3005	10653401
141	3021	10636616
142	3038	10622124
143	3054	10604000
144	3071	10589435
145	3089	10577175
146	3106	10563631
147	3123	10549816
148	3145	10553690
149	3163	10540741
150	3181	10530327
151	3198	10516910
152	3214	10502212
153	3230	10486703
154	3247	10473151
155	3264	10460711
156	3281	10445933
157	3298	10435056
158	3315	10421582
159	3331	10406796
160	3348	10394923
161	3364	10381698
162	3380	10367691
163	3396	10352822
164	3413	10341350
165	3429	10326989
166	3447	10318967
167	3464	10307437
168	3482	10300129
169	3499	10289241
170	3516	10279918
171	3533	10267043
172	3549	10254690
173	3566	10244218
174	3583	10234109
175	3600	10224847
176	3619	10219623
177	3636	10210107
178	3653	10200664
179	3670	10192021
180	3687	10183244
181	3705	10177066
182	3722	10167430
183	3739	10156851
184	3755	10147247
185	3772	10136194
186	3788	10125410
187	3804	10114576
188	3821	10105382
189	3837	10095655
190	3854	10086522
191	3870	10075652
192	3890	10075531
193	3906	10065366
194	3923	10055229
195	3938	10044517
196	3955	10034221
197	3971	10025901
198	3988	10018157
199	4010	10021001
200	4030	10021311
201	4050	10020715
202	4068	10016145
203	4086	10012632
204	4108	10015406
205	4128	10017247
206	4153	10027479
207	4172	10025244
208	4203	10050912
209	4219	10043226
